message,cleaned,predicted,tags,inquiry,ALL_Categories
بكام الضرس وتلبيسه سنه اماميه,بكام الضرس وتلبيسه سنه اماميه,obj,Medical_consult-price-,1,Mixed-Inquiries
بكم زراعة الضرس,بكم زراعة الضرس,obj,Medical_consult-price-,1,Mixed-Inquiries
بكام تكلفة ٣ اسنان ,بكام تكلفة ٣ اسنان,obj,Medical_consult-price-,1,Mixed-Inquiries
بكام,بكام,obj,price-,1,Price-Inquiry
بكام زراعه الضرس الواحد ونوع الزرعه ايه,بكام زراعه الضرس الواحد ونوع الزرعه ايه,obj,Medical_consult-price-,1,Mixed-Inquiries
الأسعار كم,الاسعار كم,obj,price-,1,Price-Inquiry
كم تكلفة زراعة الضرس الواحد ولو اكتر من واحد عل نفس التكلفه ولا هناك اختلاف ارجو التوضيح,كم تكلفة زراعة الضرس الواحد ولو اكتر من واحد عل نفس التكلفه ولا هناك اختلاف ارجو التوضيح,obj,Medical_consult-price-,1,Mixed-Inquiries
بكام زراعة الضرس,بكام زراعة الضرس,obj,Medical_consult-price-,1,Mixed-Inquiries
زراعة اربعة اسنان بكام والعنوان,زراعة اربعة اسنان بكام والعنوان,obj,Medical_consult-price-,1,Mixed-Inquiries
احمد خالد,احمد خالد,obj,,0,General Conversation
لو سمحت يا دكتور زوجى عنده تقوس فى رجليه وكمان عنده قطع فى غضروف الركبه لما راح يكشف الدكتور قاله لازم الاستعدال الاول ودكتور تانى قاله سنك كبير على عملية الاستعدال هو سنه 53 فما رائ حضرتك,لو سمحت يا دكتور زوجي عنده تقوس في رجليه وكمان عنده قطع في غضروف الركبه لما راح يكشف الدكتور قاله لازم الاستعدال الاول ودكتور تاني قاله سنك كبير علي عملية الاستعدال هو سنه 53 فما رائ حضرتك,obj,Medical_consult-,1,Medical-Consultation
د  وسام عند تيبس وتمزق بالاوتار الزراع الايمن في الم فظيع فيه علاج للام ده وهل ينفع اخذ حقنه كرتزون عاوزه اشيل الالام دي باي وسيله مش عارفه انام من الالم,د وسام عند تيبس وتمزق بالاوتار الزراع الايمن في الم فظيع فيه علاج للام ده وهل ينفع اخذ حقنه كرتزون عاوزه اشيل الالام دي باي وسيله ما عارفه انام من الالم,obj,Medical_consult-,1,Medical-Consultation
انا عندى ٤٢ سنة وفى الم في كتفى الايمن بيروح ويجى واوقت بحس بتنميلى اعمل ايه,انا عندي ٤٢ سنة وفي الم في كتفي الايمن بيروح ويجي واوقت بحس بتنميلي اعمل ايه,obj,Medical_consult-,1,Medical-Consultation
انا سني 43 سنه وف الالم ف كتفي الأيمن وحاسه أنه وارم ومش بقدر أوجه الي ناحيه الشمال ممكن الافاده,انا سني 43 سنه وف الالم ف كتفي الايمن وحاسه انه وارم و ما بقدر اوجه الي ناحيه الشمال ممكن الافاده,obj,Medical_consult-,1,Medical-Consultation
محتاجة دكتور عظام لرجلي حد يرشحلي دكتور ميين ,محتاجة دكتور عظام لرجلي حد يرشحلي دكتور مين,obj,Medical_consult-,1,Medical-Consultation
انا عندى ٣٢سنة والحمد لله مش عندى مرض مزمن ومش تخينة بس عندى تيبس فى العضلات لدرجة ان عضلة الرجل أثناء النوم الاقيها توجعنىوتشد فجاة  لا اعرف افردهاولا ارجعها زى ماكانت دا غير خشونة فى فقرات الرقبة وبداية غضروف واخذت حقن زاجاجلون وملوكسدين ومازلت اشعربالم مع اى شغل بسيط ارجو النصيحة,انا عندي ٣٢سنة والحمد لله ما عندي مرض مزمن و ما تخينة بس عندي تيبس في العضلات لدرجة ان عضلة الرجل اثناء النوم الاقيها توجعنيوتشد فجاة لا اعرف افردهاولا ارجعها زي ماكانت دا غير خشونة في فقرات الرقبة وبداية غضروف واخذت حقن زاجاجلون وملوكسدين ومازلت اشعربالم مع اي شغل بسيط ارجو النصيحة,obj,Medical_consult-datetime-,1,Mixed-Inquiries
أيوة هى دى المشكلة اللى عندى فى كتفى بالظبط,ايوة هي دي المشكلة اللي عندي في كتفي بالظبط,obj,Medical_consult-,1,Medical-Consultation
ممكن اعرف حقنة الكورتيزون بتخفف الأعراض كام شهر,ممكن اعرف حقنة الكورتيزون بتخفف الاعراض كام شهر,obj,Medical_consult-price-,1,Mixed-Inquiries
بكام وعنوان فرع المعادى,بكام وعنوان فرع المعادي,obj,price-place-,1,Mixed-Inquiries
بكام حقن الميثوثيرابي,بكام حقن الميثوثيرابي,obj,Medical_consult-price-,1,Mixed-Inquiries
بكام الدبرمابن فرع المعادي,بكام الدبرمابن فرع المعادي,obj,price-place-,1,Mixed-Inquiries
وعندكم جلسات كرايو وسعرها,وعندكم جلسات كرايو وسعرها,obj,Medical_consult-,1,Medical-Consultation
ممكن عنوان وتليفونات فرع المعادي,ممكن عنوان وتليفونات فرع المعادي,obj,place-,1,Location-Inquiry
السعر,السعر,obj,price-,1,Price-Inquiry
نظام جميل جدا بندخل علي طول مفيش انتظار,نظام جميل جدا بندخل علي طول مفيش انتظار,obj,,0,General Conversation
دكتور انا بقالى ٣ سنين بعانى من ضيق فى النفس صباحا ومساءا وعند النوم وآلام شديد فى الصدر واصحى دائما من نومى على ضيق فى النفس ولما بمشى او عند عملى اشعر باجهاد ويضيق نفسى وذهبت للكثيرين من الدكاتره ولم اشفى حتى الآن والشى الوحيد الذى لم اذهب اليه هوه دكاتره القلب فماذا تنصحني ان افعل تحياتى لشخصك الكريم,دكتور انا بقالي ٣ سنين بعاني من ضيق في النفس صباحا ومساءا وعند النوم والام شديد في الصدر واصحي دائما من نومي علي ضيق في النفس ولما بمشي او عند عملي اشعر باجهاد ويضيق نفسي وذهبت للكثيرين من الدكاتره ولم اشفي حتي الان والشي الوحيد الذي لم اذهب اليه هوه دكاتره القلب فماذا تنصحني ان افعل تحياتي لشخصك الكريم,obj,Medical_consult-,1,Medical-Consultation
اشهر واحسن دكتور,اشهر واحسن دكتور,pos,,0,Positive-Feedback
مفيش تخصص روماتويد,مفيش تخصص روماتويد,obj,,0,General Conversation
ممكن نعرف تكاليف الكشف وآلتحاليل والاشعه,ممكن نعرف تكاليف الكشف والتحاليل والاشعه,obj,price-,1,Price-Inquiry
مكان المستشفى فين,مكان المستشفي فين,obj,place-,1,Location-Inquiry
الاسعار بقي علشان نعرف راسنا من رجلينا  وعنوان المستشفى من فضلك ,الاسعار بقي علشان نعرف راسنا من رجلينا وعنوان المستشفي من فضلك,obj,Medical_consult-price-place-,1,Mixed-Inquiries
طيب ممكن اعرف التكلفة لكل هذة التحاليل الذى ذكرها الدكتور المحترم والمتابعة لديه التكلفة متضمنة سعر الكشف بالعيادة بالاندلسية,طيب ممكن اعرف التكلفة لكل هذة التحاليل الذي ذكرها الدكتور المحترم والمتابعة لديه التكلفة متضمنة سعر الكشف بالعيادة بالاندلسية,obj,Medical_consult-price-,1,Mixed-Inquiries
كشف حضرتك كام عشان الوالدة بتسال,كشف حضرتك كام عشان الوالدة بتسال,obj,Medical_consult-price-,1,Mixed-Inquiries
هيكون على التليفون ولا ايه,يكون علي التليفون ولا ايه,obj,Booking-,1,Booking-Inquiry
ازاي يعني كشف اون لاين,ازاي يعني كشف اون لاين,obj,Medical_consult-,1,Medical-Consultation
"عنوانكم ايه من فضلك
الباطنه والجلديه بكم 
ممكن توضيح يعني ايه الكشف اونلاين",عنوانكم ايه من فضلك الباطنه والجلديه بكم ممكن توضيح يعني ايه الكشف اونلاين,obj,price-place-,1,Mixed-Inquiries
هبه بكر,هبه بكر,obj,,0,General Conversation
نوع التقشير ايه ,نوع التقشير ايه,obj,,1,General-Inquiry
وأمته فى الاسكندرية إن شاء الله,وامته في الاسكندرية ان شاء الله,obj,place-,1,Location-Inquiry
"الإعلان ظهر متأخر
طيب ما تكرروها الجمعه القادمه وبالمجان ازاي عدد محدود ولا ايه",الاعلان ظهر متاخر طيب ما تكروها الجمعه القادمه وبالمجان ازاي عدد محدود ولا ايه,obj,datetime-,1,Appointments-Inquiry
علي فكرة مفيش حد بيرد علينا شكلها عروض كذابه,علي فكرة مفيش حد بيرد علينا شكلها عروض كذابه,obj,price-,1,Price-Inquiry
الإعلان ظهر السبت نعمل ايه بقي,الاعلان ظهر السبت نعمل ايه بقي,obj,,1,General-Inquiry
"بكام جلسة الديرمابن ميزوثيرابي من فضلك
هل متوفر عليها عروض",بكام جلسة الديرمابن ميزوثيرابي من فضلك هل متوفر عليها عروض,obj,price-insurance-place-,1,Mixed-Inquiries
بالمجان ولا كلام وبس,بالمجان ولا كلام وبس,neg,price-,1,Negative-Feedback
حبيبة الرحمن,حبيبة الرحمن,obj,,0,General Conversation
سارة نبيل سيد عيد,سارة نبيل سيد عيد,obj,,0,General Conversation
هل العرض ده فى اندلسيه المعادي فقط ولا اندلسيه اسكندريه كمان,هل العرض ده في اندلسيه المعادي فقط ولا اندلسيه اسكندريه كمان,obj,price-place-,1,Mixed-Inquiries
طيب بكام,طيب بكام,obj,price-,1,Price-Inquiry
نورهان صلاح الدين,نورهان صلاح الدين,obj,,0,General Conversation
"اين تكونا فى الا سكنداريه 
",اين تكونا في الا سكنداريه,obj,place-,1,Location-Inquiry
والدتي كتافها وظهرها بهم وجع دائم والجزء الشمال دائم لديها عيب خلقي الديسك الموجود بين الفقره والخامسه غير موجود فهل في حل ,والدتي كتافها وظهرها بهم وجع دائم والجزء الشمال دائم لديها عيب خلقي الديسك الموجود بين الفقره والخامسه غير موجود فهل في حل,obj,Medical_consult-place-,1,Mixed-Inquiries
شكرا لذوقك يا دكتور جزاك الله خيرا ,شكرا لذوقك يا دكتور جزاك الله خيرا,pos,,0,Positive-Feedback
دكتور ماما جتلها حمرا وبتروح وبتجي كل فتره بس بترجع اسوء حلها اي مترجعش تاني او تخف نهائي,دكتور ماما جتلها حمرا وبتروح وبتجي كل فتره بس بترجع اسوء حلها اي مترجعش تاني او تخف نهائي,obj,,0,General Conversation
انا كان عندي ورم حميد في اثنين من اصابع بدي وتم ازالته من قبل دكتور كبير جدا وثم ملئ فراغ العظم بكشط من العظم من منطقه الرزغ بس للاسف حصل تيبس في الصابعين الاثنين ولا يمكني ثنيهم نهائي فهل ليهم حل ممكن علاج يرجعهم يتنو تاني,انا كان عندي ورم حميد في اثنين من اصابع بدي وتم ازالته من قبل دكتور كبير جدا وثم ملئ فراغ العظم بكشط من العظم من منطقه الرزغ بس للاسف حصل تيبس في الصابعين الاثنين ولا يمكني ثنيهم نهائي فهل ليهم حل ممكن علاج يرجعهم يتنو تاني,obj,Medical_consult-Booking-,1,Mixed-Inquiries
باخد مسكنات باستمرار,باخد مسكنات باستمرار,obj,Medical_consult-,1,Medical-Consultation
شكرا لذوقك ,شكرا لذوقك,pos,,0,Positive-Feedback
دكتور ممتاز الف شكر لحضرتك,دكتور ممتاز الف شكر لحضرتك,pos,,0,Positive-Feedback
انا عندي ألم مستمر أسفل الظهر,انا عندي الم مستمر اسفل الظهر,obj,Medical_consult-,1,Medical-Consultation
الرابعه والخامسه,الرابعه والخامسه,obj,,0,General Conversation
دكتور  ايه اسباب الم العمود الفقري مع المجهود,دكتور ايه اسباب الم العمود الفقري مع المجهود,obj,Medical_consult-,1,Medical-Consultation
في ايدي اليمني,في ايدي اليمني,obj,Medical_consult-,1,Medical-Consultation
الام في الرقبة و الذراعين ,الام في الرقبة و الذراعين,obj,Medical_consult-,1,Medical-Consultation
دكتور ممكن اعرف اسباب الام الرقبه و حلها ,دكتور ممكن اعرف اسباب الام الرقبه و حلها,obj,Medical_consult-,1,Medical-Consultation
بالتوفيق ما شاء الله عليك دكتور محترم,بالتوفيق ما شاء الله عليك دكتور محترم,pos,,0,Positive-Feedback
الكشف بكام عيادة العظام,الكشف بكام عيادة العظام,obj,Medical_consult-price-place-,1,Mixed-Inquiries
الموعيد امتي والكشف بكام وهل ينفع كشف النساء وانا معيه كرنيه التامين,الموعيد امتي والكشف بكام وهل ينفع كشف النساء وانا معيه كرنيه التامين,obj,Medical_consult-price-insurance-,1,Mixed-Inquiries
احسن دكتور عظام فى اسكندرية ,احسن دكتور عظام في اسكندرية,pos,Medical_consult-place-,1,Positive-Feedback
بنتى 11سنه بتعانى بألم شديد في ركبتها احجز هنا والا دكتور اطفال بس,بنتي 11سنه بتعاني بالم شديد في ركبتها احجز هنا والا دكتور اطفال بس,obj,Medical_consult-datetime-,1,Mixed-Inquiries
متاح الاشعه التلفزيونيه للكشف عن الخلع ده ف مستشفيات الاندلسيه و لو متاح ممكن تفاصيلها ,متاح الاشعه التلفزيونيه للكشف عن الخلع ده ف مستشفيات الاندلسيه و لو متاح ممكن تفاصيلها,obj,Medical_consult-service-place-,1,Mixed-Inquiries
ممكن اعرف بكام للضرس ولو اكتر من واحد السعر بيختلف ,ممكن اعرف بكام للضرس ولو اكتر من واحد السعر بيختلف,obj,price-,1,Price-Inquiry
بكام الكراون و بكام الكشف,بكام الكراون و بكام الكشف,obj,price-,1,Price-Inquiry
حشو العصب بكام,حشو العصب بكام,obj,Medical_consult-price-,1,Mixed-Inquiries
بكام حشو العصب والكرون,بكام حشو العصب والكرون,obj,Medical_consult-price-,1,Mixed-Inquiries
ممكن اسعار وأنواع الكراون للضرس,ممكن اسعار وانواع الكراون للضرس,obj,price-,1,Price-Inquiry
بكام سعر الضرس ولو اكتر,بكام سعر الضرس ولو اكتر,obj,Medical_consult-price-,1,Mixed-Inquiries
وعلاج العصب والحشو بكم,وعلاج العصب والحشو بكم,obj,Medical_consult-price-,1,Mixed-Inquiries
بكم,بكم,obj,price-,1,Price-Inquiry
بكم الكرون لضرس,بكم الكرون لضرس,obj,Medical_consult-price-,1,Mixed-Inquiries
بكام حشو وتلبيسه,بكام حشو وتلبيسه,obj,Medical_consult-price-,1,Mixed-Inquiries
وهل لديكم حافظه الشفافه بكم الفكين,وهل لديكم حافظه الشفافه بكم الفكين,obj,price-insurance-,1,Mixed-Inquiries
كنت عاوزة محتاجين مساعدة طبيب اسنان تشتغل شفت صبح,كنت عاوزة محتاجين مساعدة طبيب اسنان تشتغل شفت صبح,obj,Medical_consult-,1,Medical-Consultation
بكام الكراون  لو سمحت,بكام الكراون لو سمحت,obj,price-,1,Price-Inquiry
حشو عصب وكراون بكام,حشو عصب وكراون بكام,obj,Medical_consult-price-,1,Mixed-Inquiries
بكام كراون,بكام كراون,obj,price-,1,Price-Inquiry
والتركيبات  بكام,والتركيبات بكام,obj,price-,1,Price-Inquiry
ممكن اعرف لو عايزه اركب ٣ ضروس يكلف كام,ممكن اعرف لو عايزه اركب ٣ ضروس يكلف كام,obj,Medical_consult-price-Booking-,1,Mixed-Inquiries
بكام كراون للضرس,بكام كراون للضرس,obj,price-,1,Price-Inquiry
ممكن اعرف خلع سنه وتركيب واحده تانيه مكنها كام السعر,ممكن اعرف خلع سنه وتركيب واحده تانيه مكنها كام السعر,obj,Medical_consult-price-,1,Mixed-Inquiries
بكام حشو العصب والكراون للضرس,بكام حشو العصب والكراون للضرس,obj,Medical_consult-price-,1,Mixed-Inquiries
اسعار التركيبات,اسعار التركيبات,obj,Medical_consult-price-,1,Mixed-Inquiries
فى تعاقد مع شركة عناية مصر,في تعاقد مع شركة عناية مصر,obj,insurance-place-,1,Mixed-Inquiries
سعر جلسة البلازما والتفاصيل,سعر جلسة البلازما والتفاصيل,obj,price-,1,Price-Inquiry
التكلفه كام,التكلفه كام,obj,price-,1,Price-Inquiry
التكلفه كام اسكندريه,التكلفه كام اسكندريه,obj,price-place-,1,Mixed-Inquiries
عندي فرغات وصلع وراثي في حل غير الزراعه,عندي فرغات وصلع وراثي في حل غير الزراعه,obj,,1,General-Inquiry
سعرجلسه البلازما وتقريبا نحتاج كام جلسه,سعرجلسه البلازما وتقريبا نحتاج كام جلسه,obj,Medical_consult-price-,1,Mixed-Inquiries
اللهم امين,اللهم امين,obj,,0,General Conversation
تكلفة الجلسات كام فى اسكندرية,تكلفة الجلسات كام في اسكندرية,obj,Medical_consult-price-place-,1,Mixed-Inquiries
العنوان فين,العنوان فين,obj,place-,1,Location-Inquiry
عايزه ابدل حشوالاسود هل متاح,عايزه ابدل حشوالاسود هل متاح,obj,service-Booking-,1,Mixed-Inquiries
من افضل الاطباء بالتوفيق ان شاء الله,من افضل الاطباء بالتوفيق ان شاء الله,pos,,0,Positive-Feedback
مواعيد الدكتور فى اسكندريه امتى ,مواعيد الدكتور في اسكندريه امتي,obj,datetime-place-,1,Mixed-Inquiries
طيب لو في تنميل في الرجل والايد بس من غير صداع ولا تنميل الجسم,طيب لو في تنميل في الرجل والايد بس من غير صداع ولا تنميل الجسم,obj,Medical_consult-,1,Medical-Consultation
السعر كام لو سمحتي,السعر كام لو سمحتي,obj,price-,1,Price-Inquiry
السعر كام لوسمحت فرع اسكندرية,السعر كام لوسمحت فرع اسكندرية,obj,price-place-,1,Mixed-Inquiries
كام السعر لو سمحت وهل موجوده فى الاندلسيه شلالات ,كام السعر لو سمحت وهل موجوده في الاندلسيه شلالات,obj,price-insurance-place-,1,Mixed-Inquiries
السعر كام,السعر كام,obj,price-,1,Price-Inquiry
بكام السونار 4d اسكندريه ,بكام السونار 4d اسكندريه,obj,price-place-,1,Mixed-Inquiries
فرع القاهره بكام,فرع القاهره بكام,obj,price-place-,1,Mixed-Inquiries
السعر كام فرع الاسكندريه,السعر كام فرع الاسكندريه,obj,price-place-,1,Mixed-Inquiries
ممكن اعرف سونار ال4دى بكام,ممكن اعرف سونار ال4دي بكام,obj,price-,1,Price-Inquiry
بكام الفور دى,بكام الفور دي,obj,price-,1,Price-Inquiry
بكام من فضلك واسعار الولادة القيصرية  الاسكندرية,بكام من فضلك واسعار الولادة القيصرية الاسكندرية,obj,price-place-,1,Mixed-Inquiries
فى استاذ جهاز هضمى كشف,في استاذ جهاز هضمي كشف,obj,Medical_consult-insurance-,1,Mixed-Inquiries
بالتوفيق يا محمد,بالتوفيق يا محمد,pos,,0,Positive-Feedback
العنوان,العنوان,obj,place-,1,Location-Inquiry
بكام ,بكام,obj,price-,1,Price-Inquiry
بكام الجلسه والدفع كاش ولا في فيزا,بكام الجلسه والدفع كاش ولا في فيزا,obj,price-,1,Price-Inquiry
ممكن سعر الجلسه,ممكن سعر الجلسه,obj,price-,1,Price-Inquiry
سعر الجلسة كام,سعر الجلسة كام,obj,price-,1,Price-Inquiry
بكام الجلسه لو سمحتم,بكام الجلسه لو سمحتم,obj,price-,1,Price-Inquiry
بكام الجلسة,بكام الجلسة,obj,price-,1,Price-Inquiry
بكام الجلسه,بكام الجلسه,obj,price-,1,Price-Inquiry
سعر جلسة الفراكشنال ليزر الوجه بكام الجلسة الوجه كام جلسة وبكام,سعر جلسة الفراكشنال ليزر الوجه بكام الجلسة الوجه كام جلسة وبكام,obj,price-,1,Price-Inquiry
سعر جلسة الفراكشنال ليزر الوجه,سعر جلسة الفراكشنال ليزر الوجه,obj,price-,1,Price-Inquiry
الكشف بكام وفيه فرع في المهندسين ,الكشف بكام وفيه فرع في المهندسين,obj,Medical_consult-price-place-,1,Mixed-Inquiries
بكام الكشف من فضلك,بكام الكشف من فضلك,obj,price-place-,1,Mixed-Inquiries
طب ودي علاجها ايه,طب ودي علاجها ايه,obj,Medical_consult-,1,Medical-Consultation
"ماشاء الله ربنا يكرمك ويوسع رزقك ويبارك فى اولادك وتشفهم فى احس المناصب 
كرمك واخلاقك وشهامتك مع الجميع وربنا يعطيك اكثر من ذلك ",ماشاء الله ربنا يكرمك ويوسع رزقك ويبارك في اولادك وتشفهم في احس المناصب كرمك واخلاقك وشهامتك مع الجميع وربنا يعطيك اكثر من ذلك,pos,,0,Positive-Feedback
دكتور هشام من الشخصيات المحترمه جدا أنا بتابع عندة ودكتور فوق الممتاز ومن القلائل إلي عندهم ضمير في شغلهم,دكتور هشام من الشخصيات المحترمه جدا انا بتابع عندة ودكتور فوق الممتاز ومن القلائل الي عندهم ضمير في شغلهم,pos,Medical_consult-,1,Positive-Feedback
هو الكشف بكام,هو الكشف بكام,obj,price-,1,Price-Inquiry
"كل الاعراض دية عندي 
بس كل التحاليل كويسة وظائف كبد وكلي وغدة درقية ويورك اسد وسكر تراكمي وتحليل دم شامل
تحياتي",كل الاعراض دية عندي بس كل التحاليل كويسة وظائف كبد وكلي وغدة درقية ويورك اسد وسكر تراكمي وتحليل دم شامل تحياتي,obj,Medical_consult-,1,Medical-Consultation
ربنا يوفقك يادكتور هشام انت دكتور وانسان رائع,ربنا يوفقك يا دكتور هشام انت دكتور وانسان رائع,pos,,0,Positive-Feedback
ممكن اعرف مواعيده,ممكن اعرف مواعيده,obj,,1,General-Inquiry
هو دكتور محترم جدا بصراحة عايزة مواعيده,هو دكتور محترم جدا بصراحة عايزة مواعيده,pos,,0,Positive-Feedback
سمانه رجلى اليمين احساس فاظيع جدا ووجع من كثرته اذا كنت ماشى  يشل حركتى ويتم مقوفى والرجل اليسرى ايضا وكنها اقل وعطونى برشام  دافلون ٥٠٠ ولكنه اثر عليا جدا فى الاعصاب,سمانه رجلي اليمين احساس فاظيع جدا وجع من كثرته اذا كنت ماشي يشل حركتي ويتم مقوفي والرجل اليسري ايضا وكنها اقل وعطوني برشام دافلون ٥٠٠ ولكنه اثر عليا جدا في الاعصاب,obj,Medical_consult-,1,Medical-Consultation
مشكله النزيف من الانف لاطفال ده سببه ضعف الشعيرات الدموية,مشكله النزيف من الانف لاطفال ده سببه ضعف الشعيرات الدموية,obj,Medical_consult-,1,Medical-Consultation
بكام الكشف والعنوان فين بظبط فى الاسكندرية,بكام الكشف والعنوان فين بظبط في الاسكندرية,obj,price-place-,1,Mixed-Inquiries
انا عندى سكر وسنى 40سنة وعندى التهاب في الاعصاب الطرفية مش حاسة بقدمى خالص تنميل وسخونة دائما ارجو الحل,انا عندي سكر وسني 40سنة وعندي التهاب في الاعصاب الطرفية ما حاسة بقدمي خالص تنميل وسخونة دائما ارجو الحل,obj,Medical_consult-,1,Medical-Consultation
لو سمحت يادكتور ابنى 6 سنين ودائما بينزف كتير من أنفه وخصوصا وهو نايم,لو سمحت يا دكتور ابني 6 سنين ودائما بينزف كتير من انفه وخصوصا وهو نايم,obj,,1,General-Inquiry
لو سمحت عاوز احجز واخد ميعاد في العيادة,لو سمحت عاوز احجز واخد ميعاد في العيادة,obj,Medical_consult-datetime-,1,Mixed-Inquiries
لو سمحت يا دكتور انا رجلى الشمال من فوق الركبة فيها عروق رفيعة قوى بحس بالم فيها جامد اعمل اية ,لو سمحت يا دكتور انا رجلي الشمال من فوق الركبة فيها عروق رفيعة قوي بحس بالم فيها جامد اعمل اية,obj,Medical_consult-,1,Medical-Consultation
عندى قرح أوعية دموية بالساقين مش بتقفل آلام شديدة ومبينفعش معها مسكنات باخد دافلون وترينتال واسبوسيد  عايزة طريقة غيار بدهان جديد وحل للالتهابات العالية نفسى انام مرتاحة بدون الم,عندي قرح اوعية دموية بالساقين ما بتقفل الام شديدة ومبينفعش معها مسكنات باخد دافلون وترينتال واسبوسيد عايزة طريقة غيار بدهان جديد وحل للالتهابات العالية نفسي انام مرتاحة بدون الم,obj,Medical_consult-,1,Medical-Consultation
