message,predicted,tags,inquiry,ALL_Categories,cleaned
لو سمحت يا دكتور زوجى عنده تقوس فى رجليه وكمان عنده قطع فى غضروف الركبه لما راح يكشف الدكتور قاله لازم الاستعدال الاول ودكتور تانى قاله سنك كبير على عملية الاستعدال هو سنه 53 فما رائ حضرتك,obj,Medical_consult-,1,Medical-Consultation,لو سمحت يا دكتور زوجي عنده تقوس في رجليه وكمان عنده قطع في غضروف الركبه لما راح يكشف الدكتور قاله لازم الاستعدال الاول ودكتور تاني قاله سنك كبير علي عملية الاستعدال هو سنه 53 فما رائ حضرتك
د  وسام عند تيبس وتمزق بالاوتار الزراع الايمن في الم فظيع فيه علاج للام ده وهل ينفع اخذ حقنه كرتزون عاوزه اشيل الالام دي باي وسيله مش عارفه انام من الالم,obj,Medical_consult-PriceBooking-,1,Mixed-Inquiries,د وسام عند تيبس وتمزق بالاوتار الزراع الايمن في الم فظيع فيه علاج للام ده وهل ينفع اخذ حقنه كرتزون عاوزه اشيل الالام دي باي وسيله ما عارفه انام من الالم
انا عندى ٤٢ سنة وفى الم في كتفى الايمن بيروح ويجى واوقت بحس بتنميلى اعمل ايه,obj,datetime-Medical_consult-,1,Mixed-Inquiries,انا عندي ٤٢ سنة وفي الم في كتفي الايمن بيروح ويجي واوقت بحس بتنميلي اعمل ايه
انا سني 43 سنه وف الالم ف كتفي الأيمن وحاسه أنه وارم ومش بقدر أوجه الي ناحيه الشمال ممكن الافاده,obj,Medical_consult-,1,Medical-Consultation,انا سني 43 سنه وف الالم ف كتفي الايمن وحاسه انه وارم و ما بقدر اوجه الي ناحيه الشمال ممكن الافاده
محتاجة دكتور عظام لرجلي حد يرشحلي دكتور ميين ,obj,Medical_consult-,1,Medical-Consultation,محتاجة دكتور عظام لرجلي حد يرشحلي دكتور مين
انا عندى ٣٢سنة والحمد لله مش عندى مرض مزمن ومش تخينة بس عندى تيبس فى العضلات لدرجة ان عضلة الرجل أثناء النوم الاقيها توجعنىوتشد فجاة  لا اعرف افردهاولا ارجعها زى ماكانت دا غير خشونة فى فقرات الرقبة وبداية غضروف واخذت حقن زاجاجلون وملوكسدين ومازلت اشعربالم مع اى شغل بسيط ارجو النصيحة,obj,Medical_consult-,1,Medical-Consultation,انا عندي ٣٢سنة والحمد لله ما عندي مرض مزمن و ما تخينة بس عندي تيبس في العضلات لدرجة ان عضلة الرجل اثناء النوم الاقيها توجعنيوتشد فجاة لا اعرف افردهاولا ارجعها زي ماكانت دا غير خشونة في فقرات الرقبة وبداية غضروف واخذت حقن زاجاجلون وملوكسدين ومازلت اشعربالم مع اي شغل بسيط ارجو النصيحة
أيوة هى دى المشكلة اللى عندى فى كتفى بالظبط,obj,Medical_consult-,1,Medical-Consultation,ايوة هي دي المشكلة اللي عندي في كتفي بالظبط
ممكن اعرف حقنة الكورتيزون بتخفف الأعراض كام شهر,obj,price-,1,Price-Inquiry,ممكن اعرف حقنة الكورتيزون بتخفف الاعراض كام شهر
بكام وعنوان فرع المعادى,obj,price-datetime-place-place-,1,Mixed-Inquiries,بكام وعنوان فرع المعادي
بكام حقن الميثوثيرابي,obj,price-Medical_consult-,1,Mixed-Inquiries,بكام حقن الميثوثيرابي
بكام الدبرمابن فرع المعادي,obj,price-datetime-place-place-,1,Mixed-Inquiries,بكام الدبرمابن فرع المعادي
وعندكم جلسات كرايو وسعرها,obj,price-,1,Price-Inquiry,وعندكم جلسات كرايو وسعرها
ممكن عنوان وتليفونات فرع المعادي,obj,datetime-place-place-,1,Mixed-Inquiries,ممكن عنوان وتليفونات فرع المعادي
السعر,obj,price-,1,Price-Inquiry,السعر
نظام جميل جدا بندخل علي طول مفيش انتظار,obj,service-,1,Services-Inquiry,نظام جميل جدا بندخل علي طول مفيش انتظار
دكتور انا بقالى ٣ سنين بعانى من ضيق فى النفس صباحا ومساءا وعند النوم وآلام شديد فى الصدر واصحى دائما من نومى على ضيق فى النفس ولما بمشى او عند عملى اشعر باجهاد ويضيق نفسى وذهبت للكثيرين من الدكاتره ولم اشفى حتى الآن والشى الوحيد الذى لم اذهب اليه هوه دكاتره القلب فماذا تنصحني ان افعل تحياتى لشخصك الكريم,obj,Medical_consult-,1,Medical-Consultation,دكتور انا بقالي ٣ سنين بعاني من ضيق في النفس صباحا ومساءا وعند النوم والام شديد في الصدر واصحي دائما من نومي علي ضيق في النفس ولما بمشي او عند عملي اشعر باجهاد ويضيق نفسي وذهبت للكثيرين من الدكاتره ولم اشفي حتي الان والشي الوحيد الذي لم اذهب اليه هوه دكاتره القلب فماذا تنصحني ان افعل تحياتي لشخصك الكريم
اشهر واحسن دكتور,pos,,0,Positive-Feedback,اشهر واحسن دكتور
مفيش تخصص روماتويد,obj,,0,General Conversation,مفيش تخصص روماتويد
ممكن نعرف تكاليف الكشف وآلتحاليل والاشعه,obj,price-,1,Price-Inquiry,ممكن نعرف تكاليف الكشف والتحاليل والاشعه
مكان المستشفى فين,obj,place-place-,1,Mixed-Inquiries,مكان المستشفي فين
الاسعار بقي علشان نعرف راسنا من رجلينا  وعنوان المستشفى من فضلك ,obj,price-place-place-,1,Mixed-Inquiries,الاسعار بقي علشان نعرف راسنا من رجلينا وعنوان المستشفي من فضلك
طيب ممكن اعرف التكلفة لكل هذة التحاليل الذى ذكرها الدكتور المحترم والمتابعة لديه التكلفة متضمنة سعر الكشف بالعيادة بالاندلسية,obj,price-,1,Price-Inquiry,طيب ممكن اعرف التكلفة لكل هذة التحاليل الذي ذكرها الدكتور المحترم والمتابعة لديه التكلفة متضمنة سعر الكشف بالعيادة بالاندلسية
كشف حضرتك كام عشان الوالدة بتسال,obj,price-,1,Price-Inquiry,كشف حضرتك كام عشان الوالدة بتسال
هيكون على التليفون ولا ايه,obj,PriceBooking-,1,Booking-Inquiry,يكون علي التليفون ولا ايه
ازاي يعني كشف اون لاين,obj,,1,General-Inquiry,ازاي يعني كشف اون لاين
"عنوانكم ايه من فضلك
الباطنه والجلديه بكم 
ممكن توضيح يعني ايه الكشف اونلاين",obj,price-place-place-,1,Mixed-Inquiries,عنوانكم ايه من فضلك الباطنه والجلديه بكم ممكن توضيح يعني ايه الكشف اونلاين
هبه بكر,obj,,0,General Conversation,هبه بكر
نوع التقشير ايه ,obj,,1,General-Inquiry,نوع التقشير ايه
وأمته فى الاسكندرية إن شاء الله,obj,datetime-place-,1,Mixed-Inquiries,وامته في الاسكندرية ان شاء الله
"الإعلان ظهر متأخر
طيب ما تكرروها الجمعه القادمه وبالمجان ازاي عدد محدود ولا ايه",obj,price-datetime-,1,Mixed-Inquiries,الاعلان ظهر متاخر طيب ما تكروها الجمعه القادمه وبالمجان ازاي عدد محدود ولا ايه
علي فكرة مفيش حد بيرد علينا شكلها عروض كذابه,obj,PriceBooking-,1,Booking-Inquiry,علي فكرة مفيش حد بيرد علينا شكلها عروض كذابه
الإعلان ظهر السبت نعمل ايه بقي,obj,,1,General-Inquiry,الاعلان ظهر السبت نعمل ايه بقي
"بكام جلسة الديرمابن ميزوثيرابي من فضلك
هل متوفر عليها عروض",obj,price-support-place-,1,Mixed-Inquiries,بكام جلسة الديرمابن ميزوثيرابي من فضلك هل متوفر عليها عروض
بالمجان ولا كلام وبس,obj,price-,1,Price-Inquiry,بالمجان ولا كلام وبس
حبيبة الرحمن,obj,,0,General Conversation,حبيبة الرحمن
سارة نبيل سيد عيد,obj,,0,General Conversation,سارة نبيل سيد عيد
هل العرض ده فى اندلسيه المعادي فقط ولا اندلسيه اسكندريه كمان,obj,datetime-support-PriceBooking-place-,1,Mixed-Inquiries,هل العرض ده في اندلسيه المعادي فقط ولا اندلسيه اسكندريه كمان
طيب بكام,obj,price-,1,Price-Inquiry,طيب بكام
نورهان صلاح الدين,obj,,0,General Conversation,نورهان صلاح الدين
"اين تكونا فى الا سكنداريه 
",obj,place-,1,Place-Inquiry,اين تكونا في الا سكنداريه
والدتي كتافها وظهرها بهم وجع دائم والجزء الشمال دائم لديها عيب خلقي الديسك الموجود بين الفقره والخامسه غير موجود فهل في حل ,obj,place-Medical_consult-,1,Mixed-Inquiries,والدتي كتافها وظهرها بهم وجع دائم والجزء الشمال دائم لديها عيب خلقي الديسك الموجود بين الفقره والخامسه غير موجود فهل في حل
شكرا لذوقك يا دكتور جزاك الله خيرا ,pos,,0,Positive-Feedback,شكرا لذوقك يا دكتور جزاك الله خيرا
دكتور ماما جتلها حمرا وبتروح وبتجي كل فتره بس بترجع اسوء حلها اي مترجعش تاني او تخف نهائي,obj,,0,General Conversation,دكتور ماما جتلها حمرا وبتروح وبتجي كل فتره بس بترجع اسوء حلها اي مترجعش تاني او تخف نهائي
انا كان عندي ورم حميد في اثنين من اصابع بدي وتم ازالته من قبل دكتور كبير جدا وثم ملئ فراغ العظم بكشط من العظم من منطقه الرزغ بس للاسف حصل تيبس في الصابعين الاثنين ولا يمكني ثنيهم نهائي فهل ليهم حل ممكن علاج يرجعهم يتنو تاني,obj,place-Medical_consult-PriceBooking-,1,Mixed-Inquiries,انا كان عندي ورم حميد في اثنين من اصابع بدي وتم ازالته من قبل دكتور كبير جدا وثم ملئ فراغ العظم بكشط من العظم من منطقه الرزغ بس للاسف حصل تيبس في الصابعين الاثنين ولا يمكني ثنيهم نهائي فهل ليهم حل ممكن علاج يرجعهم يتنو تاني
باخد مسكنات باستمرار,obj,Medical_consult-,1,Medical-Consultation,باخد مسكنات باستمرار
شكرا لذوقك ,pos,,0,Positive-Feedback,شكرا لذوقك
دكتور ممتاز الف شكر لحضرتك,pos,,0,Positive-Feedback,دكتور ممتاز الف شكر لحضرتك
انا عندي ألم مستمر أسفل الظهر,obj,Medical_consult-,1,Medical-Consultation,انا عندي الم مستمر اسفل الظهر
الرابعه والخامسه,obj,,0,General Conversation,الرابعه والخامسه
دكتور  ايه اسباب الم العمود الفقري مع المجهود,obj,Medical_consult-,1,Medical-Consultation,دكتور ايه اسباب الم العمود الفقري مع المجهود
في ايدي اليمني,obj,Medical_consult-,1,Medical-Consultation,في ايدي اليمني
الام في الرقبة و الذراعين ,obj,Medical_consult-,1,Medical-Consultation,الام في الرقبة و الذراعين
دكتور ممكن اعرف اسباب الام الرقبه و حلها ,obj,Medical_consult-,1,Medical-Consultation,دكتور ممكن اعرف اسباب الام الرقبه و حلها
بالتوفيق ما شاء الله عليك دكتور محترم,pos,,0,Positive-Feedback,بالتوفيق ما شاء الله عليك دكتور محترم
الكشف بكام عيادة العظام,obj,price-Medical_consult-support-,1,Mixed-Inquiries,الكشف بكام عيادة العظام
الموعيد امتي والكشف بكام وهل ينفع كشف النساء وانا معيه كرنيه التامين,obj,price-insurance-datetime-support-,1,Mixed-Inquiries,الموعيد امتي والكشف بكام وهل ينفع كشف النساء وانا معيه كرنيه التامين
احسن دكتور عظام فى اسكندرية ,obj,place-,1,Place-Inquiry,احسن دكتور عظام في اسكندرية
بنتى 11سنه بتعانى بألم شديد في ركبتها احجز هنا والا دكتور اطفال بس,obj,Medical_consult-PriceBooking-,1,Mixed-Inquiries,بنتي 11سنه بتعاني بالم شديد في ركبتها احجز هنا والا دكتور اطفال بس
متاح الاشعه التلفزيونيه للكشف عن الخلع ده ف مستشفيات الاندلسيه و لو متاح ممكن تفاصيلها ,obj,support-place-,1,Mixed-Inquiries,متاح الاشعه التلفزيونيه للكشف عن الخلع ده ف مستشفيات الاندلسيه و لو متاح ممكن تفاصيلها
ممكن اعرف بكام للضرس ولو اكتر من واحد السعر بيختلف ,obj,price-,1,Price-Inquiry,ممكن اعرف بكام للضرس ولو اكتر من واحد السعر بيختلف
بكام الكراون و بكام الكشف,obj,price-,1,Price-Inquiry,بكام الكراون و بكام الكشف
حشو العصب بكام,obj,price-Medical_consult-,1,Mixed-Inquiries,حشو العصب بكام
بكام حشو العصب والكرون,obj,price-Medical_consult-,1,Mixed-Inquiries,بكام حشو العصب والكرون
ممكن اسعار وأنواع الكراون للضرس,obj,price-,1,Price-Inquiry,ممكن اسعار وانواع الكراون للضرس
بكام سعر الضرس ولو اكتر,obj,price-,1,Price-Inquiry,بكام سعر الضرس ولو اكتر
وعلاج العصب والحشو بكم,obj,price-,1,Price-Inquiry,وعلاج العصب والحشو بكم
بكم,obj,price-,1,Price-Inquiry,بكم
بكم الكرون لضرس,obj,price-,1,Price-Inquiry,بكم الكرون لضرس
بكام حشو وتلبيسه,obj,price-Medical_consult-,1,Mixed-Inquiries,بكام حشو وتلبيسه
وهل لديكم حافظه الشفافه بكم الفكين,obj,price-support-,1,Mixed-Inquiries,وهل لديكم حافظه الشفافه بكم الفكين
كنت عاوزة محتاجين مساعدة طبيب اسنان تشتغل شفت صبح,obj,Medical_consult-,1,Medical-Consultation,كنت عاوزة محتاجين مساعدة طبيب اسنان تشتغل شفت صبح
بكام الكراون  لو سمحت,obj,price-,1,Price-Inquiry,بكام الكراون لو سمحت
حشو عصب وكراون بكام,obj,price-Medical_consult-,1,Mixed-Inquiries,حشو عصب وكراون بكام
بكام كراون,obj,price-,1,Price-Inquiry,بكام كراون
والتركيبات  بكام,obj,price-,1,Price-Inquiry,والتركيبات بكام
ممكن اعرف لو عايزه اركب ٣ ضروس يكلف كام,obj,price-,1,Price-Inquiry,ممكن اعرف لو عايزه اركب ٣ ضروس يكلف كام
بكام كراون للضرس,obj,price-,1,Price-Inquiry,بكام كراون للضرس
ممكن اعرف خلع سنه وتركيب واحده تانيه مكنها كام السعر,obj,price-place-,1,Mixed-Inquiries,ممكن اعرف خلع سنه وتركيب واحده تانيه مكنها كام السعر
بكام حشو العصب والكراون للضرس,obj,price-Medical_consult-,1,Mixed-Inquiries,بكام حشو العصب والكراون للضرس
اسعار التركيبات,obj,price-,1,Price-Inquiry,اسعار التركيبات
فى تعاقد مع شركة عناية مصر,obj,support-place-,1,Mixed-Inquiries,في تعاقد مع شركة عناية مصر
سعر جلسة البلازما والتفاصيل,obj,price-,1,Price-Inquiry,سعر جلسة البلازما والتفاصيل
التكلفه كام,obj,price-,1,Price-Inquiry,التكلفه كام
التكلفه كام اسكندريه,obj,price-place-,1,Mixed-Inquiries,التكلفه كام اسكندريه
عندي فرغات وصلع وراثي في حل غير الزراعه,obj,,1,General-Inquiry,عندي فرغات وصلع وراثي في حل غير الزراعه
سعرجلسه البلازما وتقريبا نحتاج كام جلسه,obj,price-,1,Price-Inquiry,سعرجلسه البلازما وتقريبا نحتاج كام جلسه
اللهم امين,obj,,0,General Conversation,اللهم امين
تكلفة الجلسات كام فى اسكندرية,obj,price-place-,1,Mixed-Inquiries,تكلفة الجلسات كام في اسكندرية
العنوان فين,obj,place-place-,1,Mixed-Inquiries,العنوان فين
عايزه ابدل حشوالاسود هل متاح,obj,support-PriceBooking-,1,Mixed-Inquiries,عايزه ابدل حشوالاسود هل متاح
من افضل الاطباء بالتوفيق ان شاء الله,pos,,0,Positive-Feedback,من افضل الاطباء بالتوفيق ان شاء الله
مواعيد الدكتور فى اسكندريه امتى ,obj,datetime-PriceBooking-place-,1,Mixed-Inquiries,مواعيد الدكتور في اسكندريه امتي
طيب لو في تنميل في الرجل والايد بس من غير صداع ولا تنميل الجسم,obj,Medical_consult-,1,Medical-Consultation,طيب لو في تنميل في الرجل والايد بس من غير صداع ولا تنميل الجسم
السعر كام لو سمحتي,obj,price-,1,Price-Inquiry,السعر كام لو سمحتي
السعر كام لوسمحت فرع اسكندرية,obj,price-place-place-,1,Mixed-Inquiries,السعر كام لوسمحت فرع اسكندرية
كام السعر لو سمحت وهل موجوده فى الاندلسيه شلالات ,obj,price-place-support-place-,1,Mixed-Inquiries,كام السعر لو سمحت وهل موجوده في الاندلسيه شلالات
السعر كام,obj,price-,1,Price-Inquiry,السعر كام
بكام السونار 4d اسكندريه ,obj,price-place-,1,Mixed-Inquiries,بكام السونار 4d اسكندريه
فرع القاهره بكام,obj,price-place-place-,1,Mixed-Inquiries,فرع القاهره بكام
السعر كام فرع الاسكندريه,obj,price-place-place-,1,Mixed-Inquiries,السعر كام فرع الاسكندريه
ممكن اعرف سونار ال4دى بكام,obj,price-,1,Price-Inquiry,ممكن اعرف سونار ال4دي بكام
بكام الفور دى,obj,price-,1,Price-Inquiry,بكام الفور دي
بكام من فضلك واسعار الولادة القيصرية  الاسكندرية,obj,price-place-,1,Mixed-Inquiries,بكام من فضلك واسعار الولادة القيصرية الاسكندرية
فى استاذ جهاز هضمى كشف,obj,support-,1,Insurance-Inquiry,في استاذ جهاز هضمي كشف
بالتوفيق يا محمد,pos,,0,Positive-Feedback,بالتوفيق يا محمد
العنوان,obj,place-place-,1,Mixed-Inquiries,العنوان
بكام ,obj,price-Medical_consult-,1,Mixed-Inquiries,بكام
بكام الجلسه والدفع كاش ولا في فيزا,obj,price-,1,Price-Inquiry,بكام الجلسه والدفع كاش ولا في فيزا
ممكن سعر الجلسه,obj,price-,1,Price-Inquiry,ممكن سعر الجلسه
سعر الجلسة كام,obj,price-,1,Price-Inquiry,سعر الجلسة كام
بكام الجلسه لو سمحتم,obj,price-,1,Price-Inquiry,بكام الجلسه لو سمحتم
بكام الجلسة,obj,price-,1,Price-Inquiry,بكام الجلسة
بكام الجلسه,obj,price-,1,Price-Inquiry,بكام الجلسه
سعر جلسة الفراكشنال ليزر الوجه بكام الجلسة الوجه كام جلسة وبكام,obj,price-,1,Price-Inquiry,سعر جلسة الفراكشنال ليزر الوجه بكام الجلسة الوجه كام جلسة وبكام
سعر جلسة الفراكشنال ليزر الوجه,obj,price-,1,Price-Inquiry,سعر جلسة الفراكشنال ليزر الوجه
الكشف بكام وفيه فرع في المهندسين ,obj,price-place-place-,1,Mixed-Inquiries,الكشف بكام وفيه فرع في المهندسين
بكام الكشف من فضلك,obj,price-place-,1,Mixed-Inquiries,بكام الكشف من فضلك
طب ودي علاجها ايه,obj,,1,General-Inquiry,طب ودي علاجها ايه
"ماشاء الله ربنا يكرمك ويوسع رزقك ويبارك فى اولادك وتشفهم فى احس المناصب 
كرمك واخلاقك وشهامتك مع الجميع وربنا يعطيك اكثر من ذلك ",pos,,0,Positive-Feedback,ماشاء الله ربنا يكرمك ويوسع رزقك ويبارك في اولادك وتشفهم في احس المناصب كرمك واخلاقك وشهامتك مع الجميع وربنا يعطيك اكثر من ذلك
دكتور هشام من الشخصيات المحترمه جدا أنا بتابع عندة ودكتور فوق الممتاز ومن القلائل إلي عندهم ضمير في شغلهم,pos,,1,Positive-Feedback,دكتور هشام من الشخصيات المحترمه جدا انا بتابع عندة ودكتور فوق الممتاز ومن القلائل الي عندهم ضمير في شغلهم
هو الكشف بكام,obj,price-,1,Price-Inquiry,هو الكشف بكام
"كل الاعراض دية عندي 
بس كل التحاليل كويسة وظائف كبد وكلي وغدة درقية ويورك اسد وسكر تراكمي وتحليل دم شامل
تحياتي",obj,Medical_consult-,1,Medical-Consultation,كل الاعراض دية عندي بس كل التحاليل كويسة وظائف كبد وكلي وغدة درقية ويورك اسد وسكر تراكمي وتحليل دم شامل تحياتي
ربنا يوفقك يادكتور هشام انت دكتور وانسان رائع,pos,,0,Positive-Feedback,ربنا يوفقك يا دكتور هشام انت دكتور وانسان رائع
ممكن اعرف مواعيده,obj,datetime-,1,Appointments-Inquiry,ممكن اعرف مواعيده
هو دكتور محترم جدا بصراحة عايزة مواعيده,pos,datetime-,1,Positive-Feedback,هو دكتور محترم جدا بصراحة عايزة مواعيده
سمانه رجلى اليمين احساس فاظيع جدا ووجع من كثرته اذا كنت ماشى  يشل حركتى ويتم مقوفى والرجل اليسرى ايضا وكنها اقل وعطونى برشام  دافلون ٥٠٠ ولكنه اثر عليا جدا فى الاعصاب,obj,Medical_consult-,1,Medical-Consultation,سمانه رجلي اليمين احساس فاظيع جدا وجع من كثرته اذا كنت ماشي يشل حركتي ويتم مقوفي والرجل اليسري ايضا وكنها اقل وعطوني برشام دافلون ٥٠٠ ولكنه اثر عليا جدا في الاعصاب
مشكله النزيف من الانف لاطفال ده سببه ضعف الشعيرات الدموية,obj,Medical_consult-,1,Medical-Consultation,مشكله النزيف من الانف لاطفال ده سببه ضعف الشعيرات الدموية
بكام الكشف والعنوان فين بظبط فى الاسكندرية,obj,price-place-place-,1,Mixed-Inquiries,بكام الكشف والعنوان فين بظبط في الاسكندرية
انا عندى سكر وسنى 40سنة وعندى التهاب في الاعصاب الطرفية مش حاسة بقدمى خالص تنميل وسخونة دائما ارجو الحل,obj,Medical_consult-,1,Medical-Consultation,انا عندي سكر وسني 40سنة وعندي التهاب في الاعصاب الطرفية ما حاسة بقدمي خالص تنميل وسخونة دائما ارجو الحل
لو سمحت يادكتور ابنى 6 سنين ودائما بينزف كتير من أنفه وخصوصا وهو نايم,obj,,1,General-Inquiry,لو سمحت يا دكتور ابني 6 سنين ودائما بينزف كتير من انفه وخصوصا وهو نايم
لو سمحت عاوز احجز واخد ميعاد في العيادة,obj,datetime-PriceBooking-,1,Mixed-Inquiries,لو سمحت عاوز احجز واخد ميعاد في العيادة
لو سمحت يا دكتور انا رجلى الشمال من فوق الركبة فيها عروق رفيعة قوى بحس بالم فيها جامد اعمل اية ,obj,Medical_consult-,1,Medical-Consultation,لو سمحت يا دكتور انا رجلي الشمال من فوق الركبة فيها عروق رفيعة قوي بحس بالم فيها جامد اعمل اية
عندى قرح أوعية دموية بالساقين مش بتقفل آلام شديدة ومبينفعش معها مسكنات باخد دافلون وترينتال واسبوسيد  عايزة طريقة غيار بدهان جديد وحل للالتهابات العالية نفسى انام مرتاحة بدون الم,obj,Medical_consult-,1,Medical-Consultation,عندي قرح اوعية دموية بالساقين ما بتقفل الام شديدة ومبينفعش معها مسكنات باخد دافلون وترينتال واسبوسيد عايزة طريقة غيار بدهان جديد وحل للالتهابات العالية نفسي انام مرتاحة بدون الم
لو سمحت  يا دكتور أنا عندي مشكلة في الركبة اليمني التهاب مزمن في وتر الأرصفة وتورم في المفصل وارتفاع في درجة حرارة الركبة وانتقل الي الركبة اليسري بنفس الأعراض  هل ممكن تكون مشكلة أوعية دموية خصوصا أن مفيش اي تحسن,obj,Medical_consult-,1,Medical-Consultation,لو سمحت يا دكتور انا عندي مشكلة في الركبة اليمني التهاب مزمن في وتر الارصفة وتورم في المفصل وارتفاع في درجة حرارة الركبة وانتقل الي الركبة اليسري بنفس الاعراض هل ممكن تكون مشكلة اوعية دموية خصوصا ان مفيش اي تحسن
