message,predicted,tags,inquiry,ALL_Categories
انا عندى ٤٢ سنة وفى الم في كتفى الايمن بيروح ويجى واوقت بحس بتنميلى اعمل ايه,obj,,1,General-Inquiry / Consultation
انا سني 43 سنه وف الالم ف كتفي الأيمن وحاسه أنه وارم ومش بقدر أوجه الي ناحيه الشمال ممكن الافاده,obj,,0,Other
محتاجة دكتور عظام لرجلي حد يرشحلي دكتور ميين ,obj,,0,Other
انا عندى ٣٢سنة والحمد لله مش عندى مرض مزمن ومش تخينة بس عندى تيبس فى العضلات لدرجة ان عضلة الرجل أثناء النوم الاقيها توجعنىوتشد فجاة  لا اعرف افردهاولا ارجعها زى ماكانت دا غير خشونة فى فقرات الرقبة وبداية غضروف واخذت حقن زاجاجلون وملوكسدين ومازلت اشعربالم مع اى شغل بسيط ارجو النصيحة,obj,,1,General-Inquiry / Consultation
أيوة هى دى المشكلة اللى عندى فى كتفى بالظبط,obj,,0,Other
ممكن اعرف حقنة الكورتيزون بتخفف الأعراض كام شهر,obj,price-,1,Price-Inquiry
بكام وعنوان فرع المعادى,obj,price-place-,1,Mixed-Inquiries
بكام حقن الميثوثيرابي,obj,price-,1,Price-Inquiry
بكام الدبرمابن فرع المعادي,obj,price-place-,1,Mixed-Inquiries
وعندكم جلسات كرايو وسعرها,obj,price-,1,Price-Inquiry
ممكن عنوان وتليفونات فرع المعادي,obj,place-,1,Place-Inquiry
السعر,obj,price-,1,Price-Inquiry
نظام جميل جدا بندخل علي طول مفيش انتظار,pos,,0,Positive-Feedback
دكتور انا بقالى ٣ سنين بعانى من ضيق فى النفس صباحا ومساءا وعند النوم وآلام شديد فى الصدر واصحى دائما من نومى على ضيق فى النفس ولما بمشى او عند عملى اشعر باجهاد ويضيق نفسى وذهبت للكثيرين من الدكاتره ولم اشفى حتى الآن والشى الوحيد الذى لم اذهب اليه هوه دكاتره القلب فماذا تنصحني ان افعل تحياتى لشخصك الكريم,obj,,0,Other
اشهر واحسن دكتور,pos,,0,Positive-Feedback
مفيش تخصص روماتويد,obj,,0,Other
ممكن نعرف تكاليف الكشف وآلتحاليل والاشعه,obj,price-,1,Price-Inquiry
مكان المستشفى فين,obj,,0,Other
الاسعار بقي علشان نعرف راسنا من رجلينا  وعنوان المستشفى من فضلك ,obj,price-place-,1,Mixed-Inquiries
طيب ممكن اعرف التكلفة لكل هذة التحاليل الذى ذكرها الدكتور المحترم والمتابعة لديه التكلفة متضمنة سعر الكشف بالعيادة بالاندلسية,obj,price-,1,Price-Inquiry
كشف حضرتك كام عشان الوالدة بتسال,obj,price-,1,Price-Inquiry
هيكون على التليفون ولا ايه,obj,,1,General-Inquiry / Consultation
ازاي يعني كشف اون لاين,obj,,0,Other
"عنوانكم ايه من فضلك
الباطنه والجلديه بكم 
ممكن توضيح يعني ايه الكشف اونلاين",obj,price-place-,1,Mixed-Inquiries
هبه بكر,obj,,0,Other
نوع التقشير ايه ,obj,,1,General-Inquiry / Consultation
وأمته فى الاسكندرية إن شاء الله,obj,,0,Other
"الإعلان ظهر متأخر
طيب ما تكرروها الجمعه القادمه وبالمجان ازاي عدد محدود ولا ايه",obj,,1,General-Inquiry / Consultation
علي فكرة مفيش حد بيرد علينا شكلها عروض كذابه,obj,,0,Other
الإعلان ظهر السبت نعمل ايه بقي,obj,,1,General-Inquiry / Consultation
"بكام جلسة الديرمابن ميزوثيرابي من فضلك
هل متوفر عليها عروض",obj,price-,1,Price-Inquiry
بالمجان ولا كلام وبس,neg,,0,Negative-Feedback
حبيبة الرحمن,obj,,0,Other
سارة نبيل سيد عيد,obj,,0,Other
هل العرض ده فى اندلسيه المعادي فقط ولا اندلسيه اسكندريه كمان,obj,,1,General-Inquiry / Consultation
طيب بكام,obj,price-,1,Price-Inquiry
نورهان صلاح الدين,obj,,0,Other
"اين تكونا فى الا سكنداريه 
",obj,,0,Other
والدتي كتافها وظهرها بهم وجع دائم والجزء الشمال دائم لديها عيب خلقي الديسك الموجود بين الفقره والخامسه غير موجود فهل في حل ,obj,,0,Other
شكرا لذوقك يا دكتور جزاك الله خيرا ,pos,,0,Positive-Feedback
دكتور ماما جتلها حمرا وبتروح وبتجي كل فتره بس بترجع اسوء حلها اي مترجعش تاني او تخف نهائي,obj,,0,Other
انا كان عندي ورم حميد في اثنين من اصابع بدي وتم ازالته من قبل دكتور كبير جدا وثم ملئ فراغ العظم بكشط من العظم من منطقه الرزغ بس للاسف حصل تيبس في الصابعين الاثنين ولا يمكني ثنيهم نهائي فهل ليهم حل ممكن علاج يرجعهم يتنو تاني,obj,,0,Other
باخد مسكنات باستمرار,obj,,0,Other
شكرا لذوقك ,pos,,0,Positive-Feedback
دكتور ممتاز الف شكر لحضرتك,pos,,0,Positive-Feedback
انا عندي ألم مستمر أسفل الظهر,obj,,0,Other
الرابعه والخامسه,obj,,0,Other
دكتور  ايه اسباب الم العمود الفقري مع المجهود,obj,,1,General-Inquiry / Consultation
في ايدي اليمني,obj,,0,Other
الام في الرقبة و الذراعين ,obj,,0,Other
دكتور ممكن اعرف اسباب الام الرقبه و حلها ,obj,,1,General-Inquiry / Consultation
بالتوفيق ما شاء الله عليك دكتور محترم,pos,,0,Positive-Feedback
الكشف بكام عيادة العظام,obj,price-,1,Price-Inquiry
الموعيد امتي والكشف بكام وهل ينفع كشف النساء وانا معيه كرنيه التامين,obj,price-,1,Price-Inquiry
احسن دكتور عظام فى اسكندرية ,pos,,0,Positive-Feedback
بنتى 11سنه بتعانى بألم شديد في ركبتها احجز هنا والا دكتور اطفال بس,obj,,0,Other
متاح الاشعه التلفزيونيه للكشف عن الخلع ده ف مستشفيات الاندلسيه و لو متاح ممكن تفاصيلها ,obj,,0,Other
ممكن اعرف بكام للضرس ولو اكتر من واحد السعر بيختلف ,obj,price-,1,Price-Inquiry
بكام الكراون و بكام الكشف,obj,price-,1,Price-Inquiry
حشو العصب بكام,obj,price-,1,Price-Inquiry
بكام حشو العصب والكرون,obj,price-,1,Price-Inquiry
ممكن اسعار وأنواع الكراون للضرس,obj,price-,1,Price-Inquiry
بكام سعر الضرس ولو اكتر,obj,price-,1,Price-Inquiry
وعلاج العصب والحشو بكم,obj,price-,1,Price-Inquiry
بكم,obj,price-,1,Price-Inquiry
بكم الكرون لضرس,obj,price-,1,Price-Inquiry
بكام حشو وتلبيسه,obj,price-,1,Price-Inquiry
وهل لديكم حافظه الشفافه بكم الفكين,obj,price-,1,Price-Inquiry
كنت عاوزة محتاجين مساعدة طبيب اسنان تشتغل شفت صبح,obj,,0,Other
بكام الكراون  لو سمحت,obj,price-,1,Price-Inquiry
حشو عصب وكراون بكام,obj,price-,1,Price-Inquiry
بكام كراون,obj,price-,1,Price-Inquiry
والتركيبات  بكام,obj,price-,1,Price-Inquiry
ممكن اعرف لو عايزه اركب ٣ ضروس يكلف كام,obj,price-,1,Price-Inquiry
بكام كراون للضرس,obj,price-,1,Price-Inquiry
ممكن اعرف خلع سنه وتركيب واحده تانيه مكنها كام السعر,obj,price-,1,Price-Inquiry
بكام حشو العصب والكراون للضرس,obj,price-,1,Price-Inquiry
اسعار التركيبات,obj,price-,1,Price-Inquiry
فى تعاقد مع شركة عناية مصر,obj,,0,Other
سعر جلسة البلازما والتفاصيل,obj,price-,1,Price-Inquiry
التكلفه كام,obj,price-,1,Price-Inquiry
التكلفه كام اسكندريه,obj,price-,1,Price-Inquiry
عندي فرغات وصلع وراثي في حل غير الزراعه,obj,,0,Other
سعرجلسه البلازما وتقريبا نحتاج كام جلسه,obj,price-,1,Price-Inquiry
اللهم امين,obj,,0,Other
تكلفة الجلسات كام فى اسكندرية,obj,price-,1,Price-Inquiry
العنوان فين,obj,place-,1,Place-Inquiry
عايزه ابدل حشوالاسود هل متاح,obj,,1,General-Inquiry / Consultation
من افضل الاطباء بالتوفيق ان شاء الله,pos,,0,Positive-Feedback
مواعيد الدكتور فى اسكندريه امتى ,obj,datetime-,1,Appointments-Inquiry
طيب لو في تنميل في الرجل والايد بس من غير صداع ولا تنميل الجسم,obj,,0,Other
السعر كام لو سمحتي,obj,price-,1,Price-Inquiry
السعر كام لوسمحت فرع اسكندرية,obj,price-place-,1,Mixed-Inquiries
كام السعر لو سمحت وهل موجوده فى الاندلسيه شلالات ,obj,price-,1,Price-Inquiry
السعر كام,obj,price-,1,Price-Inquiry
بكام السونار 4d اسكندريه ,obj,price-,1,Price-Inquiry
فرع القاهره بكام,obj,price-place-,1,Mixed-Inquiries
السعر كام فرع الاسكندريه,obj,price-place-,1,Mixed-Inquiries
ممكن اعرف سونار ال4دى بكام,obj,price-,1,Price-Inquiry
بكام الفور دى,obj,price-,1,Price-Inquiry
بكام من فضلك واسعار الولادة القيصرية  الاسكندرية,obj,price-,1,Price-Inquiry
فى استاذ جهاز هضمى كشف,obj,,0,Other
بالتوفيق يا محمد,pos,,0,Positive-Feedback
العنوان,obj,place-,1,Place-Inquiry
بكام ,obj,price-,1,Price-Inquiry
بكام الجلسه والدفع كاش ولا في فيزا,obj,price-,1,Price-Inquiry
ممكن سعر الجلسه,obj,price-,1,Price-Inquiry
سعر الجلسة كام,obj,price-,1,Price-Inquiry
بكام الجلسه لو سمحتم,obj,price-,1,Price-Inquiry
بكام الجلسة,obj,price-,1,Price-Inquiry
بكام الجلسه,obj,price-,1,Price-Inquiry
سعر جلسة الفراكشنال ليزر الوجه بكام الجلسة الوجه كام جلسة وبكام,obj,price-,1,Price-Inquiry
سعر جلسة الفراكشنال ليزر الوجه,obj,price-,1,Price-Inquiry
الكشف بكام وفيه فرع في المهندسين ,obj,price-place-,1,Mixed-Inquiries
بكام الكشف من فضلك,obj,price-,1,Price-Inquiry
طب ودي علاجها ايه,obj,,1,General-Inquiry / Consultation
"ماشاء الله ربنا يكرمك ويوسع رزقك ويبارك فى اولادك وتشفهم فى احس المناصب 
كرمك واخلاقك وشهامتك مع الجميع وربنا يعطيك اكثر من ذلك ",pos,,0,Positive-Feedback
دكتور هشام من الشخصيات المحترمه جدا أنا بتابع عندة ودكتور فوق الممتاز ومن القلائل إلي عندهم ضمير في شغلهم,pos,,0,Positive-Feedback
هو الكشف بكام,obj,price-,1,Price-Inquiry
"كل الاعراض دية عندي 
بس كل التحاليل كويسة وظائف كبد وكلي وغدة درقية ويورك اسد وسكر تراكمي وتحليل دم شامل
تحياتي",obj,,0,Other
ربنا يوفقك يادكتور هشام انت دكتور وانسان رائع,pos,,0,Positive-Feedback
ممكن اعرف مواعيده,obj,datetime-,1,Appointments-Inquiry
هو دكتور محترم جدا بصراحة عايزة مواعيده,obj,datetime-,1,Appointments-Inquiry
سمانه رجلى اليمين احساس فاظيع جدا ووجع من كثرته اذا كنت ماشى  يشل حركتى ويتم مقوفى والرجل اليسرى ايضا وكنها اقل وعطونى برشام  دافلون ٥٠٠ ولكنه اثر عليا جدا فى الاعصاب,obj,,0,Other
مشكله النزيف من الانف لاطفال ده سببه ضعف الشعيرات الدموية,obj,,0,Other
بكام الكشف والعنوان فين بظبط فى الاسكندرية,obj,price-place-,1,Mixed-Inquiries
انا عندى سكر وسنى 40سنة وعندى التهاب في الاعصاب الطرفية مش حاسة بقدمى خالص تنميل وسخونة دائما ارجو الحل,obj,,0,Other
لو سمحت يادكتور ابنى 6 سنين ودائما بينزف كتير من أنفه وخصوصا وهو نايم,obj,,1,General-Inquiry / Consultation
لو سمحت عاوز احجز واخد ميعاد في العيادة,obj,datetime-,1,Appointments-Inquiry
لو سمحت يا دكتور انا رجلى الشمال من فوق الركبة فيها عروق رفيعة قوى بحس بالم فيها جامد اعمل اية ,obj,,1,General-Inquiry / Consultation
عندى قرح أوعية دموية بالساقين مش بتقفل آلام شديدة ومبينفعش معها مسكنات باخد دافلون وترينتال واسبوسيد  عايزة طريقة غيار بدهان جديد وحل للالتهابات العالية نفسى انام مرتاحة بدون الم,obj,,0,Other
لو سمحت  يا دكتور أنا عندي مشكلة في الركبة اليمني التهاب مزمن في وتر الأرصفة وتورم في المفصل وارتفاع في درجة حرارة الركبة وانتقل الي الركبة اليسري بنفس الأعراض  هل ممكن تكون مشكلة أوعية دموية خصوصا أن مفيش اي تحسن,obj,,1,General-Inquiry / Consultation
عندي دواللي ساقين,obj,,0,Other
لو سمحت يادكتور أنه عندي عضله في صضري شده علي طول,obj,,1,General-Inquiry / Consultation
مواعيد الكشف امته,obj,datetime-,1,Appointments-Inquiry
السلام عليكم,obj,,0,Other
دكتور جميل ورائع وعن تجربه لانه عمل لى عمليه,pos,,0,Positive-Feedback
العياده فين يا دكتور,obj,,0,Other
العنوان انا من القاهره,obj,place-,1,Place-Inquiry
محمد عبدالقادر,obj,,0,Other
عبده اروي,obj,,0,Other
حضرتك بتعامل  مع شركات تأمين بالكرنيهات لشركات ميدرايت,obj,,0,Other
العنوان ولوحزرع فك كامل كام,obj,price-place-,1,Mixed-Inquiries
الطقم المتحرك بكام,obj,price-,1,Price-Inquiry
كم سعر الضرس والسنه,obj,price-,1,Price-Inquiry
ممكن اعرف بكام التلبيسه الزيركون والايماكس,obj,price-,1,Price-Inquiry
العنوان لوسمحت في الاسكندريه,obj,place-,1,Place-Inquiry
لو سمحت هو ينفع تركيبه ثابته فى الفك العلوى مع العلم ان مفيش غير جدرين صغيرين ولو ينفع تكلف كام,obj,price-,1,Price-Inquiry
اسعار الزريكون والايماكس والفينرز,obj,price-,1,Price-Inquiry
كام زرع فك كامل,obj,price-,1,Price-Inquiry
تمويت العصب بكام والتلبيسه للضرس بكام,obj,price-,1,Price-Inquiry
زرع الضرس بكام والسنة بكام,obj,price-,1,Price-Inquiry
تركيب الضرس بكام,obj,price-,1,Price-Inquiry
كم تكلفه الضرس,obj,price-,1,Price-Inquiry
ممكن سعر السنة الزركون,obj,price-,1,Price-Inquiry
"بكام زراعة الضرس
وبكام تركيب ضرس مكان ضرس مخلوع",obj,price-,1,Price-Inquiry
كام سعر الزريكون,obj,price-,1,Price-Inquiry
بكام الكراون الزيركون,obj,price-,1,Price-Inquiry
كم تكلفه الفك السفلي,obj,price-,1,Price-Inquiry
زراعة السنة كام,obj,price-,1,Price-Inquiry
تركيب أو زرع الضرس بكام والسنه بكام,obj,price-,1,Price-Inquiry
ممكن سعر السنه الزركون,obj,price-,1,Price-Inquiry
منورنا يا دكتور,pos,,0,Positive-Feedback
يا دكتور ما هو افضل نوع التاكم ف ف الاسنان,obj,,0,Other
كام زرع ٣ضروس,obj,price-,1,Price-Inquiry
بكام لوسمحت السعر مع عنوانكم,obj,price-place-,1,Mixed-Inquiries
الجلسه بكام,obj,price-,1,Price-Inquiry
بكام الجلسه فرع المعادي الجديد,obj,price-place-,1,Mixed-Inquiries
ممكن معلومات عن بلازما تساقط الشعر وبلازما الجلد ,obj,,0,Other
لو سمحت ممكن تفاصيل وسعر الجلسة في اسكندرية,obj,price-,1,Price-Inquiry
تفاصيل,obj,,0,Other
"بسم الله ماشاء الله والله اكبر
الله يحفظك ويبارك فيك ويوفقك أن شاء الله",pos,,0,Positive-Feedback
مواعيد ةسعر الكشف,obj,datetime-,1,Appointments-Inquiry
ما شاء الله وبالتوفيق ان شاء الله من نجاح الى نجاح,pos,,0,Positive-Feedback
اسكندرية,obj,,0,Other
حضرتكم متعاقدين مع ميد شلد,obj,,0,Other
فين المكان,obj,,0,Other
ممكن رقم موبيل للتواصل,obj,,0,Other
لو سمحت عيادة الانف واذن مين شغال فيها اليومفرع شلالات,obj,place-,1,Place-Inquiry
نقابة الأطباء  متعاقدة مع أندلسية برجاء الرد,obj,,0,Other
فيه تعامل مع نقابه الاطباء,obj,,0,Other
تكلفة فحوصات القلب فرع القاهرة كام لو سمحت,obj,price-place-,1,Mixed-Inquiries
تكلفه فحوصات القلب,obj,price-,1,Price-Inquiry
متعاقدين مع نقابه المحامين,obj,,0,Other
قيمة الفحوصات كام,obj,price-,1,Price-Inquiry
تكلفة الفحوصات دي كام تقريبا,obj,price-,1,Price-Inquiry
تكلفه كام,obj,price-,1,Price-Inquiry
قيمه الكشف,obj,,0,Other
اسعار الفحوصات في القاهره كام,obj,price-,1,Price-Inquiry
اسعار الفحوصات ف القاهره,obj,price-,1,Price-Inquiry
استشارة فية دكتور شخصلى قصور فى الشريان التاجى بعد عمل رسم قلب بالمجهود وتم عمل استرة وقالى مفيش حاجة غير انقباضات فى الشريان التاجى بتقلل مجرى سير الدم,obj,,0,Other
سلام عليكم ممكن اعرف طريقة الحجز والمواعيد,obj,datetime-,1,Appointments-Inquiry
انا بحاول احجز من Book now لقيت في خيارات المعادي او اسكندريه هو الدكتور في انهي فرع,obj,place-,1,Place-Inquiry
بكام الكشف,obj,price-,1,Price-Inquiry
الكشف بكام,obj,price-,1,Price-Inquiry
حقيقي مستشفي محترمه للغايهجزاكم الله خيرا,pos,,0,Positive-Feedback
فعلا مستشفى جدا طاقم طوارئ فيها ترفع له قبعة مافيش زيه باقي مستشفيات,pos,,0,Positive-Feedback
فعلا قسم الطوارئ متميز جدا بالتوفيق ان شاء الله دايما وربنا يقويكم ويجازيكم خير,pos,,0,Positive-Feedback
ربنا يوفقك ويبارك فيك يارب ويحميك ويحفظك من كل شر يارب,pos,,0,Positive-Feedback
ماشاء الله ربنا يجعله في ميزان حسناتكم ,pos,,0,Positive-Feedback
ربنا يوفقك دايما يا جمال بيه Mohamed Mohammed Elsayed Elgammal,pos,,0,Positive-Feedback
جزاكم الله خيرا وبارك الله فيكم ومصر بخير بشبابها الجميل ده ماشاء الله,pos,,0,Positive-Feedback
ماشاء الله تبارك الله ربنا يبارك فيكم جميعا ويحفظكم من كل شر ومكروه ربنا يجعلكم عون لكل مريض شباب يرفع الرأس,pos,,0,Positive-Feedback
ربنا يجعلوا في ميزان حسناتكم ,pos,,0,Positive-Feedback
بارك الله فيكم جميعا ,pos,,0,Positive-Feedback
ربنا يجازيكم خير,pos,,0,Positive-Feedback
ربنا يحميك ويووفقكم للخير دايما,pos,,0,Positive-Feedback
رقم طوارئ سموحه من فضلك,obj,,1,General-Inquiry / Consultation
تحياتي لشخصكم الكريم ,pos,,0,Positive-Feedback
دكتورنا الغالى تحياتى,pos,,0,Positive-Feedback
ربنا يبارك فى حضرتك ويعطيك الصحة والعافية ,pos,,0,Positive-Feedback
اماريل بتاخد علي طول ولا بيتغير هو 2 مجم,obj,,0,Other
بالنسبة للأكل يا دكتور في أكل معين مريض السكر يلتزم بيه أو يبعد عنه,obj,,0,Other
كان عندي انتفاخ في المعده وكشفت الدكتور قالي قولون وبطني هديت الحمد لله بس عملت ترهلات والايام دي احسن بكتمه وخنقه من صدري للرقبتي هل ده من تعب المعده او شئ تاني,obj,,1,General-Inquiry / Consultation
مريض السكر والضغط مع بعض عادى,obj,,0,Other
من فضلك يادكتور انا السكر 250 وباخد ميجانورم 5500  هو المفروض اغير الأقراص ولا ازود انسولين  واية احسن فيتامينات مع السكر هل نيوروفيت ولا ميلجا ولا ناخد حقن ب 12  وشكرا,obj,,1,General-Inquiry / Consultation
تسلم يادكتور,pos,,0,Positive-Feedback
دكتور ,obj,,0,Other
اسمه الدكتور مجدى علام,obj,,0,Other
الدكتور مجدى فى فرع الاسكندرية ولا المعادى,obj,place-,1,Place-Inquiry
هيطلع لايف تاني امتي من فضلكم,obj,,0,Other
بودي كوكي رودي ,obj,,0,Other
ممكن اعرف عن حمي البحر المتوسط ,obj,,1,General-Inquiry / Consultation
ايه ,obj,,1,General-Inquiry / Consultation
لو سمحت يا دكتور ايه المشاكل اللي ممكن تزود فرصة الإصابة بالسكر و هل مرض الضغط ليه تأثير,obj,,1,General-Inquiry / Consultation
اسم الدكتور ايه ومواعيد العمل,obj,datetime-,1,Appointments-Inquiry
امة الله امة الله,obj,,0,Other
"Mayar Fahmy
يالا نروح",obj,,0,Other
العلم والايمان,obj,,0,Other
خديجه واحمد,obj,,0,Other
شكرا لحضرتك يا دكتور ,pos,,0,Positive-Feedback
مع العلم اني يمارس رياضة المشى يوميا,obj,,0,Other
مريض السكر ممكن يتم تخسيس الجسم لها من السمنة ,obj,,0,Other
ممكن اعرف التفاصيل وسعر النبضه,obj,price-,1,Price-Inquiry
ممكن اعرف العرض واسم الدكتور ايه,obj,,1,General-Inquiry / Consultation
ممكن تفاصيل ميزوثرابي الشعر,obj,,0,Other
ولو في عروض,obj,,0,Other
لو سمحت تفاصيل والعروض,obj,,1,General-Inquiry / Consultation
الأندلسية الشلالات ولا سموحة,obj,,1,General-Inquiry / Consultation
ممكن تفاصيل عن عروض الليزر,obj,,0,Other
تفاصيل لو سمحتم,obj,,1,General-Inquiry / Consultation
بالتوفيق دايما يا بوب,pos,,0,Positive-Feedback
"بالتوفيق دمحمد مجدى 
ربنا ينفع بيك",pos,,0,Positive-Feedback
ترفيه طبله الأذن تكلفه كام,obj,price-,1,Price-Inquiry
"بالتوفيق والتقدم دايما يا
Mohamed A Magdi
انت تستاهل كل خير يارب ان شاء الله ",pos,,0,Positive-Feedback
بالتوفيق يابيبو,pos,,0,Positive-Feedback
استشارة فية شخير اثناء النوم هل هذا مؤشر لشئ,obj,,1,General-Inquiry / Consultation
بلتوفيق يا رب,pos,,0,Positive-Feedback
كام سعر الكشف,obj,price-,1,Price-Inquiry
ربنا يحفظه بسم الله ماشاء الله فعلا دكتور شاطر وبيدى امل وتحدى للمريض عشان يتعامل مع التعب من غير قلق وخوف ,pos,,0,Positive-Feedback
دكتور شاطر ربنا يبارك فى والمستشفى ممتازه,pos,,0,Positive-Feedback
في دكتور باطنه وقلب كويس ومواعيده ايه,obj,,1,General-Inquiry / Consultation
اشطر دكتور اشكر حضرتك كتيييييير ربنا يبارك في علمك ويزيدك ثقة باللة,pos,,0,Positive-Feedback
ربنا يبارك فيك ويحفظك ويوفقك يارب,pos,,0,Positive-Feedback
ربنا يبارك في حضرتك,pos,,0,Positive-Feedback
طيب مافيش لايف للدكتور مخ واعصاب  أو دكتوره عظام,obj,,0,Other
تحياتي وتقديري لحضرتك ولكل حبايبكم,pos,,0,Positive-Feedback
ممكن اعرف المواعيد لو سمحتي,obj,datetime-,1,Appointments-Inquiry
هو فين  اللايف هيكون عخلى الصفحة دى ولا صفحة تانية لو سمحتم,obj,,1,General-Inquiry / Consultation
دكتور ممتاز بس سافر   ممكن دكتور شاطر  غدد صماء وباطنة ,obj,,0,Other
كنت محتاجه دكتور سمنه اطفال,obj,,0,Other
عنوان المستشفى والدكتور محمود من فضلكم,obj,place-,1,Place-Inquiry
مواعيد الدكتور محمود اى أنا من الاسكندريه والعنوان لو سمحت شكرا,obj,datetime-place-,1,Mixed-Inquiries
مواعيد الدكتور محمود يوسف في الاسكندريه,obj,datetime-,1,Appointments-Inquiry
ممكن مواعيد دكتور محمود يوسف في اندلسية اسكندرية,obj,datetime-,1,Appointments-Inquiry
انا من القاهره ممكن اعرف عنوان الدكتور,obj,place-,1,Place-Inquiry
ممكن عنوان بالتفصيل في الإسكندرية,obj,place-,1,Place-Inquiry
ربنا يوفقك ومن تقدم لتقدم,pos,,0,Positive-Feedback
بنتى عندها التهاب مزمن في الغشاء السينوفى فى الركبة اليسرى وتم عمل منظارين على الركبه واستئصال جزء منه وتحليله والحمد لله طلع حميد ولكنها لسه بتورم اعمل ايه افيدنى,obj,,1,General-Inquiry / Consultation
د٠ انا كان عندى اصابة فى زفصل الكتف وعملت شريحة ومسامير  من  شهر ١٠  ٢٠١٩ والى الان مش عارفة ارفع ايدى اسرح شعرى وهى اليمين ممكن فى تفسير عندك,obj,,1,General-Inquiry / Consultation
طيب وعرق النسا الاقى علاج,obj,,0,Other
السلام عليكم ورحمة الله وبركاته ممكن أعرف حضرتك موعد العياده فى مستشفى أندلسية سموحة امتى,obj,,1,General-Inquiry / Consultation
ماشاء الله ربنا يزيدك كمان وكمان,obj,,0,Other
العنوان فى القاهره والكشف كام,obj,price-place-,1,Mixed-Inquiries
العنوان فين فى القاهرة والكشف كام والمواعيد,obj,price-datetime-place-,1,Mixed-Inquiries
عوزه مخ واعصاب في تنميل في الراس والجسم كلوله وعرق شديد اعمل ايه فدني الله يبارك فيك يارب,obj,,1,General-Inquiry / Consultation
